,index,trips
0,2014-01-28,300400
1,2014-02-28,224736
2,2014-03-28,439117
3,2014-04-28,670780
4,2014-05-28,866117
5,2014-06-28,936880
6,2014-07-28,968842
7,2014-08-28,963489
8,2014-09-28,953887
9,2014-10-28,828711
10,2014-11-28,529188
11,2014-12-28,399069
12,2015-01-28,285552
13,2015-02-28,196930
14,2015-03-28,341826
15,2015-04-28,652390
16,2015-05-28,961986
17,2015-06-28,941219
18,2015-07-28,1085676
19,2015-08-28,1179044
20,2015-09-28,1289699
21,2015-10-28,1212277
22,2015-11-28,987245
23,2015-12-28,804125
24,2016-01-28,509478
25,2016-02-28,560874
26,2016-03-28,919921
27,2016-04-28,1013149
28,2016-05-28,1212280
29,2016-06-28,1460318
30,2016-07-28,1380110
31,2016-08-28,1557663
32,2016-09-28,1648856
33,2016-10-28,1573872
34,2016-11-28,1196942
35,2016-12-28,812192
36,2017-01-28,726676
37,2017-02-28,791647
38,2017-03-28,727665
39,2017-04-28,1315404
40,2017-05-28,1523268
41,2017-06-28,1731594
42,2017-07-28,1735599
43,2017-08-28,1816498
44,2017-09-28,1878098
45,2017-10-28,1897592
46,2017-11-28,1330649
47,2017-12-28,889967
48,2018-01-28,718994
49,2018-02-28,843114
50,2018-03-28,976672
51,2018-04-28,1307543
52,2018-05-28,1824710
53,2018-06-28,1953103
54,2018-07-28,1913625
55,2018-08-28,1977177
56,2018-09-28,1877884
57,2018-10-28,1878657
58,2018-11-28,1260355
59,2018-12-28,1016505
60,2019-01-28,967287
61,2019-02-28,943745
62,2019-03-28,1327960
63,2019-04-28,1766094
64,2019-05-28,1924563
65,2019-06-28,2125370
66,2019-07-28,2181064
67,2019-08-28,2344224
68,2019-09-28,2444900
69,2019-10-28,2092573
70,2019-11-28,1478708
71,2019-12-28,955210
72,2020-01-28,1240596
73,2020-02-28,1146830
74,2020-03-28,1068457
75,2020-04-28,682762
76,2020-05-28,1487890
77,2020-06-28,1882274
78,2020-07-28,2105808
79,2020-08-28,2329514
80,2020-09-28,2488225
81,2020-10-28,2248869
82,2020-11-28,1736705
83,2020-12-28,1088929
84,2021-01-28,1095346
85,2021-02-28,649984
86,2021-03-28,1531095
87,2021-04-28,2067670
88,2021-05-28,2724166
89,2021-06-28,3178082
90,2021-07-28,3084915
91,2021-08-28,3072834
92,2021-09-28,3280561
93,2021-10-28,3069236
94,2021-11-28,2159285
95,2021-12-28,1748288
96,2022-01-28,1052419
97,2022-02-28,1233715
98,2022-03-28,1893445
99,2022-04-28,2319614
100,2022-05-28,2940601
101,2022-06-28,3432883
102,2022-07-28,3497390
103,2022-08-28,3681309
104,2022-09-28,3507123
105,2022-10-28,3021670
106,2022-11-28,2460105
107,2022-12-28,1649652
